THE;0.018140361
AND;0.007252281
ING;0.007177953
ENT;0.004188482
ION;0.0041574
HER;0.003574301
FOR;0.00343606
THA;0.00332748
NTH;0.003302651
INT;0.003195084
ERE;0.003108741
TIO;0.003108252
TER;0.002987707
EST;0.002797405
ERS;0.002766182
ATI;0.002626869
HAT;0.002550341
ATE;0.002506312
ALL;0.0024569
ETH;0.00241081
HES;0.002383983
VER;0.00237619
HIS;0.0023516
OFT;0.002207291
ITH;0.002138972
FTH;0.002114268
STH;0.002111321
OTH;0.002075057
RES;0.002067292
ONT;0.002048877
DTH;0.002046229
ARE;0.002045132
REA;0.002035697
EAR;0.00203502
WAS;0.002021685
SIN;0.0020191
STO;0.002002008
TTH;0.001983122
STA;0.00196516
THI;0.001956795
TIN;0.001922742
TED;0.001881454
ONS;0.00187676
EDT;0.001876466
WIT;0.001872832
SAN;0.001846254
DIN;0.001842622
ORT;0.001842395
CON;0.001821094
RTH;0.001781528
EVE;0.001753911
ECO;0.001738789
ERA;0.001721231
IST;0.001711156
NGT;0.001671565
AST;0.001655648
ILL;0.001631976
COM;0.001596175
ORE;0.001577391
IVE;0.001570602
NCE;0.001503711
ONE;0.001503444
EDI;0.001495668
PRO;0.001495351
ESS;0.00149426
OUT;0.001492443
EIN;0.001447116
ATT;0.001446498
MEN;0.00144598
HEC;0.001438685
ESA;0.001429818
HEN;0.001428289
INA;0.001421471
ERI;0.001415518
ERT;0.001402901
AME;0.001372399
ITI;0.001372331
OME;0.001371156
SON;0.001368042
ART;0.001364442
MAN;0.001361053
EAN;0.001356774
ONA;0.00135231
EOF;0.001346838
TOR;0.001344825
HEA;0.001331419
RAN;0.001331197
RIN;0.001319263
INE;0.001318075
EDA;0.001317667
NTO;0.001306998
AVE;0.001303813
NIN;0.001297799
OVE;0.001294253
OUN;0.00128246
AIN;0.001271059
ANT;0.001268561
STR;0.001262596
ETO;0.001257802
HEM;0.001257197
SOF;0.001255941
PER;0.001237012
NDE;0.001235765
STE;0.001235506
NTE;0.001229315
EAS;0.00122664
DTO;0.001221695
OUR;0.001217153
RED;0.001206556
ROM;0.001193352
TOF;0.001192341
GHT;0.001191396
TOT;0.001183131
ESE;0.001181794
CHA;0.001179581
ICA;0.001174308
HEI;0.001173309
HIN;0.001172788
IDE;0.001169218
NDT;0.001167045
HAN;0.001166762
TAN;0.001166711
LIN;0.001160175
NOT;0.001152692
DER;0.00115266
ECT;0.00114288
TRA;0.001140924
IGH;0.001137998
FRO;0.001130032
EAT;0.001129959
STI;0.001125177
HEP;0.001107609
NDI;0.001107561
INS;0.001106934
SHE;0.001098637
NAL;0.001073608
PLA;0.001069104
ALS;0.001061202
EEN;0.001058328
NTI;0.001056948
YOU;0.00105227
LAN;0.001052154
UND;0.00104309
NDA;0.001042484
RAT;0.001034424
LEA;0.001032189
CAN;0.001031992
HAS;0.001024937
NDS;0.001022332
NGA;0.00101812
HEL;0.001015295
HED;0.001009604
INC;0.001005277
USE;0.000990756
ESI;0.000989035
GTH;0.00098891
ASA;0.000986905
HET;0.000985712
NTS;0.000982457
HAV;0.000979169
HEW;0.000978948
THO;0.000978188
BUT;0.000977378
NAN;0.000975441
ASS;0.000974103
HEF;0.000966417
IES;0.000964454
RET;0.000963853
END;0.00095607
PAR;0.000954205
WER;0.000947411
CTI;0.000945398
REN;0.00094248
REC;0.000937548
CAL;0.000934301
ITS;0.000933933
REE;0.000928344
ENE;0.000927553
RST;0.000926023
EAL;0.00092501
ANA;0.000919041
NST;0.000916636
COU;0.000913585
TUR;0.000912048
MIN;0.000905973
ITY;0.000904847
YTH;0.000904078
HEY;0.00090311
ECA;0.000899208
OUL;0.000898764
LLE;0.000892538
ARD;0.000889326
ROU;0.000889092
ANC;0.00088812
OST;0.000887518
PRE;0.000878922
AGE;0.000878315
EFO;0.000877039
LES;0.000875884
SSI;0.000871747
EMA;0.000869923
ESO;0.000869805
TAT;0.000868738
ATH;0.000867799
WOR;0.000864056
UST;0.000862929
HEB;0.000862483
EWA;0.000861415
SHO;0.000858991
IND;0.000855097
SED;0.000844965
HOU;0.000840616
LLY;0.000840494
ULD;0.000839367
ASE;0.000836407
URE;0.000836382
ONO;0.000834741
ELE;0.00083366
ENC;0.000829295
NAT;0.000826909
EAD;0.000825581
WHE;0.000823966
ELL;0.00082325
BLE;0.000820527
KIN;0.000819293
ANS;0.000818672
TIC;0.000816289
ALI;0.000815325
SCO;0.000814893
ERO;0.000813921
WHI;0.000813686
CES;0.000810062
OWN;0.00080676
NTA;0.000806038
ACT;0.000803849
BER;0.000803443
VEN;0.000800113
TIM;0.000795022
DON;0.000790637
DAN;0.000788975
OSE;0.000788876
ICE;0.00078879
ISA;0.000788561
TON;0.000784563
DEN;0.000782523
NGS;0.000779314
